Quantity,Value,Unit,Uncertainty
Stefan-boltzmann Constant                                  ,5.670 367 e-8, W m^-2 K^-4,0.000 013 e-8           
Tau Compton Wavelength                                     ,0.697 787 e-15, m,0.000 063 e-15          
Tau Compton Wavelength Over 2 Pi                           ,0.111 056 e-15, m,0.000 010 e-15          
Tau-electron Mass Ratio                                    ,3477.15, ,0.31
Tau Mass                                                   ,3.167 47 e-27, kg,0.000 29 e-27           
Tau Mass Energy Equivalent                                 ,2.846 78 e-10, J,0.000 26 e-10           
Tau Mass Energy Equivalent In Mev                          ,1776.82, MeV,0.16
Tau Mass In U                                              ,1.907 49, u,0.000 17                
Tau Molar Mass                                             ,1.907 49 e-3, kg mol^-1,0.000 17 e-3            
Tau-muon Mass Ratio                                        ,16.8167, ,0.0015
Tau-neutron Mass Ratio                                     ,1.891 11, ,0.000 17                
Tau-proton Mass Ratio                                      ,1.893 72, ,0.000 17                
Thomson Cross Section                                      ,0.665 245 871 58 e-28, m^2,0.000 000 000 91 e-28   
Triton-electron Mass Ratio                                 ,5496.921 535 88, ,0.000 000 26            
Triton G Factor                                            ,5.957 924 920, ,0.000 000 028           
Triton Mag. Mom.                                           ,1.504 609 503 e-26, J T^-1,0.000 000 012 e-26      
Triton Mag. Mom. To Bohr Magneton Ratio                    ,1.622 393 6616 e-3, ,0.000 000 0076 e-3      
Triton Mag. Mom. To Nuclear Magneton Ratio                 ,2.978 962 460, ,0.000 000 014           
Triton Mass                                                ,5.007 356 665 e-27, kg,0.000 000 062 e-27      
Triton Mass Energy Equivalent                              ,4.500 387 735 e-10, J,0.000 000 055 e-10      
Triton Mass Energy Equivalent In Mev                       ,2808.921 112, MeV,0.000 017               
Triton Mass In U                                           ,3.015 500 716 32, u,0.000 000 000 11        
Triton Molar Mass                                          ,3.015 500 716 32 e-3, kg mol^-1,0.000 000 000 11 e-3    
Triton-proton Mass Ratio                                   ,2.993 717 033 48, ,0.000 000 000 22        
Unified Atomic Mass Unit                                   ,1.660 539 040 e-27, kg,0.000 000 020 e-27      
Von Klitzing Constant                                      ,25 812.807 4555, ohm,0.000 0059              
Weak Mixing Angle                                          ,0.2223, ,0.0021
Wien Frequency Displacement Law Constant                   ,5.878 9238 e10, Hz K^-1,0.000 0034 e10          
Wien Wavelength Displacement Law Constant                  ,2.897 7729 e-3, m K,0.000 0017 e-3          
